price,year_model,mileage,fuel_type,mark,model,fiscal_power,city
26730.0,2012.0,164999.5,Diesel,Volkswagen,P,, Meknès
59400.00000000001,2009.0,154999.5,Diesel,cedes-Benz,220,8.0, Casablanca
9720.0,1998.0,274999.5,Ess,Hond,Civic,, Casablanca
8100.000000000001,1989.0,57499.5,Diesel,Renault,R18,7.0, Tiznit
22950.0,2008.0,144999.5,Diesel,Peugeot,308,6.0, Tanger
15930.000000000002,2004.0,224999.5,Diesel,Toyot,Avensis,8.0, Tanger
19440.0,2008.0,184999.5,Diesel,Nissan,X-Trai,8.0, Rabat
35100.0,2009.0,164999.5,Diesel,Volkswagen,Touran,8.0, Rabat
22410.0,2013.0,97499.5,Diesel,Opel,Corsa,5.0, Marrakech
12690.0,2006.0,12499.5,Ess,Daci,Logan,8.0, Mohammedia
12690.0,1999.0,194999.5,Diesel,Volkswagen,Passat,, Rabat
10260.0,1997.0,184999.5,Diesel,Seat,T,, Rabat
6750.0,1986.0,27499.5,Diesel,Volkswagen,GOLF 2,, Inzegan
9990.0,1987.0,224999.5,Diesel,Volkswagen,Jetta,, Rabat
35100.0,2014.0,47499.5,Diesel,Daci,Duster,6.0, Tanger
